acronym
Itm2a
Itm2a
Itm2a
Itm2a
Itm2a
Itm2a
Itm2a
Mog
Mog
Mog
Slc1a3
Slc1a3
Slc1a3
Slc1a3
Slc1a3
Slc1a3
Slc1a3
Slc1a3
Slc1a3
Fabp7
Fabp7
Fabp7
Fn1
Fn1
Fn1
Fn1
Fn1
Fn1
Fn1
Fn1
Fn1
Fn1
Fn1
Fn1
Fn1
Fn1
Sparc
Sparc
Sparc
Sparc
Gfap
Gfap
Gfap
Gfap
Gsn
Gsn
Gsn
Gsn
Gsn
Gsn
Gsn
Car2
Car2
Car2
Car2
Car2
Car2
Car2
Car2
Apod
Apod
Apod
Apod
Apod
Apod
Apod
Ecrg4
Ecrg4
Ecrg4
Dbi
Dbi
Flt1
Flt1
Flt1
Flt1
Flt1
Flt1
Flt1
Flt1
Flt1
Flt1
Vat1l
Vat1l
Vat1l
Vat1l
Vat1l
Vat1l
Sirt2
Sirt2
Sirt2
Sirt2
Sirt2
Epas1
Epas1
Epas1
Epas1
Epas1
Epas1
Epas1
Epas1
Epas1
Epas1
Epas1
Gng12
Gng12
Gng12
Gng12
Gng12
Gng12
Gng12
Gng12
Gng12
Gng12
Gpr17
Gpr17
Gpr17
Gpr17
Gpr17
Gpr17
Gpr17
Gpr17
Gpr17
Gpr17
Gpr17
Gpr17
Gpr17
Gpr17
Gpr17
Gpr17
Gpr17
Cd81
Cd81
Cd81
Cd81
Vtn
Vtn
Vtn
Vtn
Vtn
Vtn
Vtn
Vtn
Sostdc1
Sostdc1
Sostdc1
Sostdc1
Sostdc1
Sostdc1
Sostdc1
Sostdc1
Sostdc1
Sostdc1
Trf
Trf
Trf
Marcks
Marcks
Marcks
Marcks
Aqp4
Aqp4
Aqp4
Aqp4
Aqp4
Aqp4
Aqp4
Aqp4
Aqp4
Aqp4
Ctss
Ctss
Ctss
Ctss
Ctss
Ctss
Ctss
Ctss
Bsg
Bsg
Fbln5
Fbln5
Fbln5
Fbln5
Fbln5
Fbln5
Fbln5
Fbln5
Fbln5
Fbln5
Fbln5
Fbln5
Fbln5
Fbln5
Fbln5
Fbln5
Fbln5
Fbln5
Fbln5
Fbln5
Fbln5
Lyz2
Lyz2
Lyz2
Lyz2
Lyz2
Lyz2
Lyz2
Cldn5
Cldn5
Cldn5
Cldn5
Mag
Mag
Mag
Mag
Tspan2
Tspan2
Tspan2
Tspan2
Tspan2
Tspan2
Tspan2
Ptgds
Slc6a11
Slc6a11
Slc6a11
Slc6a11
Slc6a11
Slc6a11
Slc6a11
Slc6a11
Slc6a11
Slc6a11
Slc6a11
Slc6a11
Slc6a11
Slc6a11
Slc6a11
Hexb
Hexb
Hexb
Hexb
Hexb
Hexb
Selenop
Selenop
Selenop
Selenop
Selenop
Selenop
Selenop
Selenop
Selenop
Selenop
Cdhr1
Cdhr1
Cdhr1
Cdhr1
Cdhr1
Cdhr1
Cdhr1
Cdhr1
Cdhr1
Cdhr1
Cdhr1
S100b
S100b
S100b
S100b
S100b
Ttr
